n,deg_mean_r,clust_mean_r,mis_r,count,gamma1_std,gamma2_std,beta1_std,beta2_std,gamma1_mean,gamma2_mean,beta1_mean,beta2_mean,approx_mean,models
9,4.0,0.467,0.333,2,0.028968476703289836,1.557518100366115,0.17364820073710724,0.7580980755747074,2.928888144277503,1.6720984959115932,1.8932422296687572,2.374256003214471,0.8536103271010025,['watts']
9,4.0,0.57,0.333,1,0.0,0.0,0.0,0.0,1.6898872876899547,1.8163002347483324,1.1772360300019493,1.3217402805490905,0.8648327186639074,['watts']
9,4.0,0.589,0.333,1,0.0,0.0,0.0,0.0,1.8504160514678438,-0.16521043875392744,2.704931882805762,2.4052173945010082,0.8002013567808646,['watts']
9,5.333,0.641,0.222,1,0.0,0.0,0.0,0.0,1.4377123970494998,2.8472391857008645,2.060667335274894,0.3259621403576077,0.746225424101313,['gnm']
9,5.556,0.66,0.222,1,0.0,0.0,0.0,0.0,1.8225089755538233,1.1302354344974488,3.035819805517577,1.8471581046392525,0.81307733868693,['gnm']
9,5.778,0.884,0.333,1,0.0,0.0,0.0,0.0,3.0133780409877593,2.746326361727933,1.8924762843479197,1.7231115918523523,0.8959439340789472,['gnm']
9,6.0,0.744,0.333,1,0.0,0.0,0.0,0.0,1.7855515145889307,1.170299495565966,3.080356283131743,1.8339974744103096,0.8171025763879841,['gnm']
9,6.222,0.751,0.222,1,0.0,0.0,0.0,0.0,2.9939290872673348,2.0322106396086994,1.790793141993213,1.4123547516665877,0.8536196226118351,['gnm']
9,6.444,0.785,0.333,1,0.0,0.0,0.0,0.0,2.9824645805418775,2.8441302313503223,2.0125965314845216,1.84781086698657,0.9103207954161392,['gnm']
9,6.667,0.793,0.222,1,0.0,0.0,0.0,0.0,1.7846887410636276,2.775001515716981,1.3655835825999472,2.5548133581461494,0.8326136165693697,['gnm']
9,7.111,0.885,0.222,1,0.0,0.0,0.0,0.0,1.427592367807982,2.766193810159869,1.0134201736712178,2.1085233452554295,0.8565902794523936,['gnm']
9,7.778,0.972,0.222,1,0.0,0.0,0.0,0.0,3.0299519897727,2.010053842912688,1.7786681510894438,1.4768901736234317,0.9696780602152104,['gnm']
10,1.8,0.0,0.4,1,0.0,0.0,0.0,0.0,2.356300056741863,1.5703284575830458,1.8826754907461103,1.2589916268004426,0.7968566602099967,['barabasi']
10,1.8,0.0,0.5,7,1.1709053912718215,0.7426187785064987,0.9880543617933251,0.797461593628005,1.0778687387339196,2.3259306024945308,1.6723797540178527,1.9096805650425668,0.7567523462429263,['barabasi']
10,1.8,0.0,0.6,7,0.6422867376928029,0.4477498474323727,0.3429899731096817,0.6691103803785556,1.5361532839065417,2.1448295130015844,1.6597625660874462,1.6135916715435645,0.7525991480298553,['barabasi']
10,1.8,0.0,0.7,5,0.6087618587333566,0.8303512763792239,0.3648099021299815,0.7429336466407587,1.8122151600031473,2.009731116845839,1.4504464914032187,1.7828901336696625,0.7278624115911905,['barabasi']
10,1.8,0.0,0.8,2,0.2969573355739099,0.022886157401198124,0.4342545379580247,1.1968568892173492,1.86639915107183,2.1654681066878396,0.6521904512268886,2.0265524135823956,0.7435264959735074,['barabasi']
10,2.0,0.0,0.5,11,0.3084212101848279,0.3539944000020124,0.4336014990856012,0.4258351562602415,0.4221045207528398,2.4573534955965726,2.7601205041114443,1.724184884201235,0.813838832197305,"['watts', 'regular']"
10,2.0,0.0,0.6,2,0.046387758548447365,0.04352748595654013,0.007685725131282238,0.005448561863810594,0.5002535897193715,2.924722893360231,1.9131955876908542,0.8366294285230297,0.835889690139823,['watts']
10,2.0,0.167,0.4,1,0.0,0.0,0.0,0.0,-0.3651672905787291,3.141583162372431,3.1250361389694143,1.9551963650582564,0.7900944091091573,['gnm']
10,2.0,0.217,0.5,1,0.0,0.0,0.0,0.0,0.3723048321977856,2.3521214846312466,2.9210202863047856,1.8070719192465685,0.8360038909166122,['watts']
10,3.0,0.0,0.4,1,0.0,0.0,0.0,0.0,2.7999243902291013,2.226160964498743,1.7531937826796589,1.9011600392796848,0.8660330912325487,['regular']
10,3.0,0.0,0.5,1,0.0,0.0,0.0,0.0,2.7957228363324202,2.229557050181298,1.7543176585737945,1.904564224095912,0.7521574943564094,['regular']
10,3.0,0.2,0.4,2,0.24099804764747745,0.3073912776898566,0.9450089939765836,0.07454961549850837,2.970187836377757,2.0829443203555824,2.4733226599919975,1.882830107202385,0.8019790997046969,['regular']
10,3.0,0.3,0.4,2,0.026753268106603275,0.21014762739616694,0.12787601785530658,0.012410452898871837,2.8360223454318985,2.442164604558747,1.8937159540835489,1.8078771795740447,0.8580155251004079,['regular']
10,3.0,0.4,0.3,1,0.0,0.0,0.0,0.0,2.87048832209671,2.617791994476536,1.9893955932688034,1.8136082502239828,0.8925543357414707,['regular']
10,3.4,0.307,0.5,1,0.0,0.0,0.0,0.0,1.8431621032813994,2.986425944146855,2.7241279727038537,2.40485465615033,0.7309062999204605,['gnm']
10,3.6,0.33,0.4,1,0.0,0.0,0.0,0.0,2.901040880612232,1.8784298348490283,1.9114958969548987,1.492977811140113,0.7593824417840096,['gnm']
10,4.0,0.25,0.3,1,0.0,0.0,0.0,0.0,1.3295692019886076,2.112571789757646,1.7592713514488558,1.296252469897642,0.8465994256060867,['regular']
